id,hed,url,text1,url1,icon1,text2,url2,icon2,text3,url3,icon3
redraft-2,The NBA Redrafted 2.0,https://pudding.cool/2022/02/redraft/,NBA Redrafted 1.0 (2017),https://pudding.cool/2017/03/redraft/,link,,,,,,
plain,What Makes Writing More Readable?,https://pudding.cool/2022/02/plain/,,,,,,,,,
propublica-scholarship,ProPublica Scholarship,https://www.propublica.org/article/students-propublica-and-the-pudding-want-to-send-you-to-a-conference-in-2022,,,,,,,,,
pudding-cup-2021,The Pudding Cup 2021 winners!,https://pudding.cool/process/pudding-cup-2021/,,,,,,,,,
women-in-headlines,When Women Make Headlines,https://pudding.cool/2022/02/women-in-headlines,,,,,,,,,
new-yorker-2,Using a Computer Win the New Yorker Cartoon Caption Contest,https://pudding.cool/projects/caption-contest/,,,,,,,,,
story-form,Have a story idea you think The Pudding should do? Share your idea here!,https://forms.gle/EJYE5N7bnF1DMWJa6,,,,,,,,,
deepwork,You’re only human. Don’t let that stop you from advancing your career.,https://pudding.cool/2022/01/deepwork/,,,,,,,,,
sesame,The Hidden Risks of Sesame Allergies,https://pudding.cool/2021/12/sesame/,,,,,,,,,
travel-local,A Data-driven Trip Through the USA,https://pudding.cool/2020/05/travel-local/,,,,,,,,,
lenna,Can Data Die? Tracking the Lenna Image,https://pudding.cool/2021/10/lenna/,Get the data,https://github.com/the-pudding/lenna-data,link,,,,,,
spades,How you play Spades is how you play life,https://pudding.cool/2021/08/spades/,Want a printed deck?,https://docs.google.com/forms/d/e/1FAIpQLSdUoOOrIJz_IWrBfR3HEDO2EttUZ6vZWu-1WNjTg4M7ybJUlg/viewform,link,,,,,,
same-gender-lyrics,“I Kissed A Girl” to “Call Me By Your Name”,https://pudding.cool/2021/06/same-gender-lyrics/,Spotify playlist,https://open.spotify.com/playlist/3g0RrpYM6zZ7d4nfP3XeEh?si=ea100ec620f247a4,headphones,,,,,,
new-yorker,Help a Computer Win the New Yorker Cartoon Caption Contest,https://pudding.cool/projects/caption-contest/,,,,,,,,,
solo,How many artists overshadow their band after going solo?,https://pudding.cool/2021/04/solo,,,,,,,,,
managing-director,We're hiring a Managing Director - Editorial,https://pudding.cool/career/managing-director/,About Us,https://pudding.cool/about/,link,FAQ,https://pudding.cool/faq/,link,,,
music-bubble,Get out of your geographic music bubble,https://pudding.cool/2021/04/music-bubble/,The Cultural Borders of Songs,https://pudding.cool/2018/06/music-map/,link,,,,,,
covid-science,How Science Came Together During COVID-19,https://pudding.cool/2021/03/covid-science/,,,,,,,,,
foundations,The Naked Truth,https://pudding.cool/2021/03/foundation-names/,Cocoa Swatches,https://www.cocoaswatches.com/,link,,,,,,
spades-survey,Survey on Spades in the Black Community,https://thepudding.typeform.com/to/BFKFcPu3,,,,,,,,,
wine-model,Wine & Math: A Model Pairing,https://pudding.cool/2021/03/wine-model/,Behind the piece,https://www.datamake.io/project/wine-model,link,,,,,,
love-and-ai,Nothing Breaks Like A.I. Heart,https://pudding.cool/2021/03/love-and-ai/,OpenAI,https://openai.com/,link,,,,,,
jukebox,Introducing the Live Music Jukebox,https://pudding.cool/2021/02/jukebox/,,,,,,,,,
scholarship,Student Journalism Scholarships,https://www.propublica.org/article/students-propublica-and-the-pudding-want-to-help-pay-for-your-journalism-expenses-in-2021?utm_medium=social&utm_source=twitter#1046944,ProPublica,https://www.propublica.org/,users,,,,,,
speaker-rider,We created a speaker rider. Journalism didn’t have one.,https://opennews.org/projects/speaker-rider/,Read more about the rider,https://pudding.cool/process/speaker-rider/,link,,,,,,
cool,Every time someone says cool in Community,https://pudding.cool/2021/01/cool/,Watch the supercut,https://www.youtube.com/watch?v=EFXRGqJUdjQ,video,,,,,,
oreo,Oreos and the Art of Crossword Puzzle Construction,https://pudding.cool/2021/01/oreo/,Who’s in the Crossword?,https://pudding.cool/2020/11/crossword/,link,Playable puzzles,https://pudding.cool/2020/11/crossword-puzzles/,link,,,
light-cost,The Historical Cost of Light,https://pudding.cool/2020/12/lighting-cost/,Read the paper,https://www.nber.org/system/files/chapters/c6064/c6064.pdf,bar-chart,,,,,,
bad-spotify,How Bad is Your Spotify?,https://pudding.cool/2020/12/judge-my-spotify/,,,,,,,,,
pudding-cup-2020,The Pudding Cup 2020,https://pudding.cool/process/pudding-cup-2020/,2019 winners,https://pudding.cool/process/pudding-cup-2019/,link,2018 winners,https://pudding.cool/process/pudding-awards-2018/,link,2017 winners,https://pudding.cool/process/pudding-awards-2017/,link
crossword,Who’s in the Crossword?,https://pudding.cool/2020/11/crossword/,Playable puzzles,https://pudding.cool/2020/11/crossword-puzzles/,link,Svelte component,https://github.com/russellgoldenberg/svelte-crossword#svelte-crossword,link,,,
whole-foods,Whole Foods,https://www.notion.so/thepudding/Whole-Foods-Data-FAQ-3b69e387e78c41e4af27b16c6d3e9459,15 Percent Pledge,https://www.15percentpledge.org/,users,Get the data,https://www.notion.so/thepudding/Whole-Foods-Data-FAQ-3b69e387e78c41e4af27b16c6d3e9459,bar-chart,,,
k-pop,Why are K-pop groups so big?,https://pudding.cool/2020/10/kpop/,Kontinentalist,https://kontinentalist.com/,users,,,,,,
