id,hed,url,instagram,tiktok,text1,url1,icon1,text2,url2,icon2,text3,url3,icon3
scifi,Who Killed the World?,https://pudding.cool/2024/07/scifi/,TRUE,TRUE,Watch the video version,https://www.youtube.com/watch?v=nRQ2vMpw-n8,video,,,,,,
ydc,Failures to Act,https://ydcpodcast.org,TRUE,FALSE,Podcast series,https://link.chtbl.com/euOpEjuP?sid=IG,headphones,,,,,,
climate-zones,How will your city feel in the future?,https://pudding.cool/2024/06/climate-zones,TRUE,FALSE,,,,,,,,,
wnba-kicks-2024,A Visual History of WNBA Kicks (2024 Update),https://pudding.cool/2022/09/wnba-kicks/,TRUE,FALSE,Get the poster,https://the-pudding.printify.me/product/8358/wnba-kicks-poster,shopping-cart,See the Jordans version,https://pudding.cool/2018/09/jordans/,link,,,
teenagers,This is a teenager,https://pudding.cool/2024/03/teenagers/,TRUE,FALSE,Watch the video version,https://www.youtube.com/watch?v=fKv1Mixv0Hk,video,,,,,,
beyonce-country,Data Spotlight: Black Women and Country Music,https://pudding.cool/2023/05/country-radio/,TRUE,TRUE,Listen to the Color Me Country podcast,https://colormecountry.com/,headphones,Check out Black Opry,https://www.blackopry.com/,link,,,
flipbook,Help draw the longest flipbook animation ever.,https://pudding.cool/projects/flipbook,TRUE,FALSE,,,,,,,,,
greatest-music,What makes an album the greatest of all time?,https://pudding.cool/2024/03/greatest-music/,TRUE,FALSE,,,,,,,,,
anthems,Quantifying the Diva-ness of 138 National Anthem Performances,https://pudding.cool/2024/02/anthems/,TRUE,FALSE,Listen to the Switched on Pop podcast,https://switchedonpop.com/episodes/national-anthem-pudding-star-spangled-banner,headphones,,,,,,
cohort,The Pudding's 2024 Cohort,https://pudding.cool/career/cohort/,TRUE,FALSE,,,,,,,,,
judge-my-music-2023,2023 Update: How Bad Is Your Streaming Music?,https://pudding.cool/2021/10/judge-my-music/,TRUE,FALSE,,,,,,,,,
pudding-cup-2023-winners,Announcing the 2023 Pudding Cup winners,https://pudding.cool/pudding-cup/,TRUE,FALSE,,,,,,,,,
genre-tok,You should look at this chart about music genres,https://pudding.cool/2023/10/genre/,TRUE,TRUE,Get your music judged,https://pudding.cool/2021/10/judge-my-music/,link,,,,,,
romance-covers-reel,What Does a Happily Ever After Look Like?,https://pudding.cool/2023/10/romance-covers/,TRUE,TRUE,,,,,,,,,
pudding-cup-2023,The Pudding Cup 2023,https://pudding.cool/pudding-cup/,TRUE,FALSE,,,,,,,,,
genre,You should look at this chart about music genres,https://pudding.cool/2023/10/genre/,TRUE,FALSE,Get the data,https://docs.google.com/spreadsheets/d/1BWHO9TLmCtJIKeC63HuVtjHfwb6iBOAxe-_HBFJ-FHI/edit#gid=1952369265,link,,,,,,
romance-covers,What Does a Happily Ever After Look Like?,https://pudding.cool/2023/10/romance-covers/,TRUE,FALSE,,,,,,,,,
invisible-epidemic,24 Hours in an Invisible Epidemic,https://pudding.cool/2023/09/invisible-epidemic/,TRUE,FALSE,,,,,,,,,
clock-news,A Clock Where the Time is Made of News Headlines,https://pudding.cool/projects/clocks/news/,TRUE,FALSE,See all the data clocks,https://pudding.cool/projects/clocks/,link,,,,,,
clock-yt,A Clock Where the Time is Mentioned on YouTube,https://pudding.cool/projects/clocks/videos/,TRUE,FALSE,See all the data clocks,https://pudding.cool/projects/clocks/,link,,,,,,
clock,A Clock Where the Time is in a Song Title,https://pudding.cool/projects/clocks/songs/,TRUE,FALSE,See all the data clocks,https://pudding.cool/projects/clocks/,link,,,,,,
national-cookie-day,Baking the Most Average Chocolate Chip Cookie,https://pudding.cool/2018/05/cookies/,TRUE,TRUE,,,,,,,,,
songwriters,"Women are superstars on stage, but still rarely get to write songs",https://pudding.cool/2023/07/songwriters/,TRUE,TRUE,See the data,https://docs.google.com/spreadsheets/d/1onjtF60H4P63U4DRSwSap033DS8yBAvFZ69JaVV_Q5s/edit#gid=1974596418,bar-chart,,,,,,
wnba-kicks-2023,A Visual History of WNBA Kicks (2023 Update),https://pudding.cool/2022/09/wnba-kicks/,TRUE,TRUE,Get the poster,https://the-pudding.printify.me/product/8358/wnba-kicks-poster,shopping-cart,See the Jordans version,https://pudding.cool/2018/09/jordans/,link,,,
pass-the-mic,A Chrome extension to visualize how much each person is talking in Google Meet,https://chrome.google.com/webstore/detail/pass-the-mic/pjhefpcmnfnepcpcgbjgnphmpalihbhl,TRUE,FALSE,,,,,,,,,
asterisks,"Introducing CRUTCH, Our New Metric For Asterisking NBA Champions",https://pudding.cool/2023/06/asterisks/,TRUE,FALSE,,,,,,,,,
country-radio-vid,What it feels like to listen to country radio,https://pudding.cool/2023/05/country-radio/,TRUE,TRUE,Spotify playlist,https://open.spotify.com/playlist/4iUShEXY8vdrZzZstsNxto?go=1&sp_cid=60bfb8f5f2b99f903e543a3641e3c22b,headphones,,,,,,
groove,Wonky: An exploration of rhythm and grooves that break the rules,https://pudding.cool/2023/06/groove/,TRUE,FALSE,,,,,,,,,
country-radio,They Won't Play a Lady-O on Country Radio,https://pudding.cool/2023/05/country-radio/,TRUE,FALSE,Spotify playlist,https://open.spotify.com/playlist/4iUShEXY8vdrZzZstsNxto?go=1&sp_cid=60bfb8f5f2b99f903e543a3641e3c22b,headphones,,,,,,
vox-3,How Russia’s invasion transformed one Ukrainian city,https://www.vox.com/c/world-politics/2023/5/10/23630754/russia-ukraine-war-kharkiv-city-transformed,TRUE,FALSE,Vox,https://www.vox.com/,users,,,,,,
vox-2,How Russia’s invasion transformed one Ukrainian city,https://www.vox.com/c/world-politics/2023/5/10/23630754/russia-ukraine-war-kharkiv-city-transformed,TRUE,FALSE,Vox,https://www.vox.com/,users,,,,,,
vox-1,How Russia’s invasion transformed one Ukrainian city,https://www.vox.com/c/world-politics/2023/5/10/23630754/russia-ukraine-war-kharkiv-city-transformed,TRUE,FALSE,Vox,https://www.vox.com/,users,,,,,,
dark-patterns,How companies use dark patterns to keep you subscribed,https://pudding.cool/2023/05/dark-patterns/,TRUE,FALSE,,,,,,,,,
spades-tt-2,How You Play Spades is How You Play Life - How it Feels,https://pudding.cool/2021/08/spades/,FALSE,TRUE,,,,,,,,,
spades-tt-1,How You Play Spades is How You Play Life - Where it's From,https://pudding.cool/2021/08/spades/,FALSE,TRUE,,,,,,,,,
location-game,Where in the USA is This?,https://pudding.cool/games/where/,TRUE,FALSE,,,,,,,,,
pockets-vid,Women's Pockets are Inferior,https://pudding.cool/2018/08/pockets/,TRUE,TRUE,Get the data,https://github.com/the-pudding/data/tree/master/pockets,bar-chart,Get the poster,https://thepudding.threadless.com/designs/pockets-poster,shopping-cart,,,
same-name,A Map of Places in the US with the Same Name,https://pudding.cool/2023/03/same-name/,TRUE,FALSE,Interactive explainer,https://pudding.cool/2023/03/same-name/method/,link,Improve the data,https://docs.google.com/spreadsheets/u/1/d/1cHtvcuxvxI6Y2hA5Xa2wg8AW0SZ7ZYG5H5x7H4jGLdk/edit#gid=0,bar-chart,,,
dame-unexpected,The Greatest Unexpected NBA Performances,https://www.youtube.com/watch?v=jV49bDzkQhY,TRUE,FALSE,,,,,,,,,
nba-unexpected,The Greatest Unexpected NBA Performances,https://www.youtube.com/watch?v=jV49bDzkQhY,TRUE,FALSE,,,,,,,,,
spades-family,Buy our Spades deck so you can play like Gabrielle's family,https://the-pudding-merch.myshopify.com/collections/frontpage/products/how-you-play-spades-is-how-you-play-life-deck-of-cards,TRUE,TRUE,Interactive story,https://pudding.cool/2021/08/spades/,link,Black Girls Code,https://wearebgc.org/,link,,,
office-hours,"We're holding open office hours, come chat with us!",https://www.notion.so/thepudding/The-Pudding-Office-Hours-a67b8c1363064566abd46ebfd231fc5a,TRUE,FALSE,,,,,,,,,
spades-bhm,We're donating $5 from each deck sold during Black History Month,https://the-pudding-merch.myshopify.com/collections/frontpage/products/how-you-play-spades-is-how-you-play-life-deck-of-cards,TRUE,FALSE,Interactive story,https://pudding.cool/2021/08/spades/,link,Black Girls Code,https://wearebgc.org/,link,,,
words-against-strangers-finals,Watch the words against strangers tournament of champions finals,https://www.youtube.com/watch?v=LO72Mc4yS00,TRUE,FALSE,Watch the semifinals,https://www.youtube.com/watch?v=l83sOlJFqlw&feature=youtu.be,≈,Play the game,https://pudding.cool/games/words-against-strangers,link,,,
lit-canon,What literature do we study from the 1990s?,https://pudding.cool/2023/01/lit-canon,TRUE,FALSE,,,,,,,,,
words-against-strangers-100,Play all 100 days: words against strangers,https://pudding.cool/games/words-against-strangers,TRUE,FALSE,,,,,,,,,
one-hit-world-cup,The Greatest Single Season Anomalies in the Last 30 Years,https://pudding.cool/2018/04/one-hit-wonders/,TRUE,FALSE,,,,,,,,,
yard-sale,Why the Super Rich are Inevitable,https://pudding.cool/2022/12/yard-sale,TRUE,FALSE,,,,,,,,,
spades-sale,Holiday Sale! 20% Off! How You Play Spades is How You Play Life,https://the-pudding-merch.myshopify.com/collections/frontpage/products/how-you-play-spades-is-how-you-play-life-deck-of-cards,TRUE,FALSE,Interactive story,https://pudding.cool/2021/08/spades/,link,,,,,,
pudding-cup-2022-winners,The Pudding Cup 2022 Winners,https://pudding.cool/process/pudding-cup-2022/,TRUE,FALSE,🏆 Bubble Tea,https://taiwandatastories.com/bubble-tea-guide/,link,🏆 Flags of Inequality,https://www.flags-of-inequality.com/,link,🏆 K-Means Clustering,https://k-means-explorable.vercel.app/,link
emotion-wheel,How are you doing?: A Journey of Emotional Awareness,https://pudding.cool/2022/12/emotion-wheel/,TRUE,TRUE,,,,,,,,,
dubois-book-giveaway,Upward Mobility: W.E.B. Du Bois Book Giveaway,https://pudding.cool/2022/11/upward-mobility/,TRUE,FALSE,Interactive story,https://pudding.cool/2022/11/upward-mobility/,link,,,,,,
upward-mobility,Upward Mobility,https://pudding.cool/2022/11/upward-mobility/,TRUE,FALSE,,,,,,,,,
spades-cards,Buy the Cards: How You Play Spades is How You Play Life,https://the-pudding-merch.myshopify.com/collections/frontpage/products/how-you-play-spades-is-how-you-play-life-deck-of-cards,TRUE,FALSE,Interactive story,https://pudding.cool/2021/08/spades/,link,,,,,,
dress-codes,The Sexualized Messages Dress Codes are Sending to Students,https://pudding.cool/2019/02/dress-code-sexualization/,TRUE,FALSE,GAO report,https://www.gao.gov/products/gao-23-105348,link,,,,,,
pudding-cup-2022,The Pudding Cup 2022,https://pudding.cool/process/pudding-cup-2022/,TRUE,FALSE,2021 winners,https://pudding.cool/process/pudding-cup-2021/,link,2020 winners,https://pudding.cool/process/pudding-cup-2020/,link,2019 winners,https://pudding.cool/process/pudding-cup-2019/,link
wnba-kicks,A Visual History of WNBA Kicks,https://pudding.cool/2022/09/wnba-kicks/,TRUE,TRUE,Get the poster,https://the-pudding.printify.me/product/8358/wnba-kicks-poster,shopping-cart,See the Jordans version,https://pudding.cool/2018/09/jordans/,link,,,
words-against-strangers,Play now: words against strangers,https://pudding.cool/games/words-against-strangers,TRUE,FALSE,,,,,,,,,
wiki-death-queen,Queen Elizabeth II Update: Life After Death on Wikipedia,https://pudding.cool/2018/08/wiki-death/,TRUE,FALSE,,,,,,,,,
cdmx,The Sounds of CDMX,https://pudding.cool/2022/09/cdmx/,TRUE,TRUE,,,,,,,,,
censorship,The Big [Censored] Theory,https://pudding.cool/2022/08/censorship/,TRUE,TRUE,,,,,,,,,
tiktok-unlikely-odds-2,Has TikTok Audio Become its Own Artform?,https://pudding.cool/2022/07/tiktok-story/,TRUE,FALSE,Watch our video collab with Vox,https://www.youtube.com/watch?v=S1m-KgEpoow,video,,,,,,
tiktok-unlikely-odds,The Unlikely Odds of Making it Big on TikTok,https://pudding.cool/2022/07/tiktok-story/,TRUE,FALSE,Watch our video collab with Vox,https://www.youtube.com/watch?v=S1m-KgEpoow,video,,,,,,
aztec-updates,Update: A Visual Guide to the Aztec Pantheon,https://pudding.cool/2022/06/aztec-gods/,TRUE,FALSE,,,,,,,,,
jordans-2022,A Visual History of Every Air Jordan,https://pudding.cool/2018/09/jordans/,TRUE,TRUE,Get the poster,https://thepudding.threadless.com/designs/air-jordans-poster,shopping-cart,,,,,,
streaming,How Artists Get Paid From Streaming,https://pudding.cool/2022/06/streaming/,TRUE,FALSE,,,,,,,,,
tt-same-gender,“I Kissed A Girl” to “Call Me By Your Name”,https://pudding.cool/2021/06/same-gender-lyrics/,FALSE,TRUE,headphones,https://open.spotify.com/playlist/3g0RrpYM6zZ7d4nfP3XeEh?si=ea100ec620f247a4,headphones,,,,,,
same-gender-2022,Same-Gender Lyrics Have Come a Long Way,https://pudding.cool/2021/06/same-gender-lyrics/,TRUE,FALSE,Spotify playlist,https://open.spotify.com/playlist/3g0RrpYM6zZ7d4nfP3XeEh?si=ea100ec620f247a4,headphones,,,,,,
aztec,A Visual Guide to the Aztec Pantheon,https://pudding.cool/2022/06/aztec-gods/,TRUE,FALSE,,,,,,,,,
tt_tiktok,What happed to new musicians after their song blew up on TikTok in 2020?,https://www.youtube.com/watch?v=S1m-KgEpoow,FALSE,TRUE,Listen to the podcast,https://open.spotify.com/episode/1OknHyVWLaV5NfMH5yK7gt,headphones,,,,,,
tt_nile,Why this city just appeared on the Egyptian Nile,https://pudding.cool/2018/10/city_3d/,FALSE,TRUE,Population Mountains,https://pudding.cool/2018/12/3d-cities-story/,link,,,,,,
tt_riverside,"How creativity saved Riverside, California",https://pudding.cool/2018/10/city_3d/,FALSE,TRUE,Population Mountains,https://pudding.cool/2018/12/3d-cities-story/,link,,,,,,
tt_bigcity,How did the biggest city EVER appear overnight?,https://pudding.cool/2018/10/city_3d/,FALSE,TRUE,Population Mountains,https://pudding.cool/2018/12/3d-cities-story/,link,,,,,,
tt_datamountain,Why your brain loves data mountains,https://pudding.cool/2018/10/city_3d/,FALSE,TRUE,Population Mountains,https://pudding.cool/2018/12/3d-cities-story/,link,,,,,,
tiktok-video,Vox + Pudding collaboration on TikTok music virality,https://www.youtube.com/watch?v=S1m-KgEpoow,TRUE,FALSE,Listen to the podcast,https://open.spotify.com/episode/1OknHyVWLaV5NfMH5yK7gt,headphones,,,,,,
heat-records,"We’re tracking heat records in 400 U.S. cities, and you can look up your city.",https://pudding.cool/projects/heat-records/,TRUE,FALSE,Heat record map,https://pudding.cool/2022/03/weather-map/,link,,,,,,
random,We found this cool study about randomness that we wanted to show you.,https://pudding.cool/2022/04/random/,TRUE,FALSE,Original study,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1005408,bar-chart,,,,,,
banknotes,Who’s in Your Wallet?,https://pudding.cool/2022/04/banknotes/,TRUE,FALSE,,,,,,,,,
engagement-hire,We're Hiring a Part-Time Audience Engagement Manager,https://pudding.cool/career/audience-engagement-manager/,TRUE,FALSE,About Us,https://pudding.cool/about/,info,FAQ,https://pudding.cool/faq/,info,,,
cough,"Chalamet Coughs, Dune Wins: Predicting Best Picture Winners Using Coughs and Sneezes",https://journal-doi.org/10.731/pcbi.1007742/,TRUE,FALSE,,,,,,,,,
weather-map,How many days since a record-high temperature?,https://pudding.cool/2022/03/weather-map/,TRUE,FALSE,Tracking heat records,https://pudding.cool/projects/heat-records/,link,,,,,,
redraft-2,The NBA Redrafted 2.0,https://pudding.cool/2022/02/redraft/,TRUE,FALSE,NBA Redrafted 1.0 (2017),https://pudding.cool/2017/03/redraft/,link,,,,,,
plain,What Makes Writing More Readable?,https://pudding.cool/2022/02/plain/,TRUE,FALSE,,,,,,,,,
propublica-scholarship,ProPublica Scholarship,https://www.propublica.org/article/students-propublica-and-the-pudding-want-to-send-you-to-a-conference-in-2022,TRUE,FALSE,ProPublica,https://www.propublica.org/,users,,,,,,
pudding-cup-2021,The Pudding Cup 2021 winners!,https://pudding.cool/process/pudding-cup-2021/,TRUE,FALSE,2020 winners,https://pudding.cool/process/pudding-cup-2020/,link,2019 winners,https://pudding.cool/process/pudding-cup-2019/,link,2018 winners,https://pudding.cool/process/pudding-awards-2018/,link
women-in-headlines,When Women Make Headlines,https://pudding.cool/2022/02/women-in-headlines,TRUE,FALSE,,,,,,,,,
new-yorker-2,Using a Computer Win the New Yorker Cartoon Caption Contest,https://pudding.cool/projects/caption-contest/,TRUE,FALSE,,,,,,,,,
story-form,Have a story idea you think The Pudding should do? Share your idea here!,https://forms.gle/EJYE5N7bnF1DMWJa6,TRUE,FALSE,,,,,,,,,
deepwork,You’re only human. Don’t let that stop you from advancing your career.,https://pudding.cool/2022/01/deepwork/,TRUE,FALSE,,,,,,,,,
sesame,The Hidden Risks of Sesame Allergies,https://pudding.cool/2021/12/sesame/,TRUE,FALSE,,,,,,,,,
travel-local,A Data-driven Trip Through the USA,https://pudding.cool/2020/05/travel-local/,TRUE,FALSE,,,,,,,,,
lenna,Can Data Die? Tracking the Lenna Image,https://pudding.cool/2021/10/lenna/,TRUE,FALSE,Get the data,https://github.com/the-pudding/lenna-data,bar-chart,,,,,,
spades,How You Play Spades is How You Play Life,https://pudding.cool/2021/08/spades/,TRUE,FALSE,Want a printed deck?,https://docs.google.com/forms/d/e/1FAIpQLSdUoOOrIJz_IWrBfR3HEDO2EttUZ6vZWu-1WNjTg4M7ybJUlg/viewform,link,,,,,,
same-gender-lyrics,“I Kissed A Girl” to “Call Me By Your Name”,https://pudding.cool/2021/06/same-gender-lyrics/,TRUE,FALSE,Spotify playlist,https://open.spotify.com/playlist/3g0RrpYM6zZ7d4nfP3XeEh?si=ea100ec620f247a4,headphones,,,,,,
new-yorker,Help a Computer Win the New Yorker Cartoon Caption Contest,https://pudding.cool/projects/caption-contest/,TRUE,FALSE,,,,,,,,,
solo,How many artists overshadow their band after going solo?,https://pudding.cool/2021/04/solo,TRUE,FALSE,,,,,,,,,
managing-director,We're hiring a Managing Director - Editorial,https://pudding.cool/career/managing-director/,TRUE,FALSE,About Us,https://pudding.cool/about/,info,FAQ,https://pudding.cool/faq/,info,,,
music-bubble,Get out of your geographic music bubble,https://pudding.cool/2021/04/music-bubble/,TRUE,FALSE,The Cultural Borders of Songs,https://pudding.cool/2018/06/music-map/,link,,,,,,
covid-science,How Science Came Together During COVID-19,https://pudding.cool/2021/03/covid-science/,TRUE,FALSE,,,,,,,,,
foundations,The Naked Truth,https://pudding.cool/2021/03/foundation-names/,TRUE,FALSE,Cocoa Swatches,https://www.cocoaswatches.com/,link,Inclusive makeup shades,https://pudding.cool/2018/06/makeup-shades/,link,,,
spades-survey,Survey on Spades in the Black Community,https://thepudding.typeform.com/to/BFKFcPu3,TRUE,FALSE,See the final story,https://pudding.cool/2021/08/spades/,link,Want a printed deck?,https://docs.google.com/forms/d/e/1FAIpQLSdUoOOrIJz_IWrBfR3HEDO2EttUZ6vZWu-1WNjTg4M7ybJUlg/viewform,link,,,
wine-model,Wine & Math: A Model Pairing,https://pudding.cool/2021/03/wine-model/,TRUE,FALSE,Behind the piece,https://www.datamake.io/project/wine-model,link,,,,,,
love-and-ai,Nothing Breaks Like A.I. Heart,https://pudding.cool/2021/03/love-and-ai/,TRUE,FALSE,OpenAI,https://openai.com/,link,,,,,,
jukebox,Introducing the Live Music Jukebox,https://pudding.cool/2021/02/jukebox/,TRUE,FALSE,,,,,,,,,
scholarship,Student Journalism Scholarships,https://www.propublica.org/article/students-propublica-and-the-pudding-want-to-help-pay-for-your-journalism-expenses-in-2021?utm_medium=social&utm_source=twitter#1046944,TRUE,FALSE,ProPublica,https://www.propublica.org/,users,,,,,,
speaker-rider,We created a speaker rider. Journalism didn’t have one.,https://opennews.org/projects/speaker-rider/,TRUE,FALSE,Read more about the rider,https://pudding.cool/process/speaker-rider/,link,,,,,,
cool,Every time someone says cool in Community,https://pudding.cool/2021/01/cool/,TRUE,FALSE,Watch the supercut,https://www.youtube.com/watch?v=EFXRGqJUdjQ,video,,,,,,
oreo,Oreos and the Art of Crossword Puzzle Construction,https://pudding.cool/2021/01/oreo/,TRUE,FALSE,Who’s in the Crossword?,https://pudding.cool/2020/11/crossword/,link,Playable puzzles,https://pudding.cool/2020/11/crossword-puzzles/,link,,,
light-cost,The Historical Cost of Light,https://pudding.cool/2020/12/lighting-cost/,TRUE,FALSE,Read the paper,https://www.nber.org/system/files/chapters/c6064/c6064.pdf,bar-chart,,,,,,
bad-spotify,How Bad is Your Spotify?,https://pudding.cool/2020/12/judge-my-spotify/,TRUE,FALSE,,,,,,,,,
pudding-cup-2020,The Pudding Cup 2020,https://pudding.cool/process/pudding-cup-2020/,TRUE,FALSE,2019 winners,https://pudding.cool/process/pudding-cup-2019/,link,2018 winners,https://pudding.cool/process/pudding-awards-2018/,link,2017 winners,https://pudding.cool/process/pudding-awards-2017/,link
crossword,Who’s in the Crossword?,https://pudding.cool/2020/11/crossword/,TRUE,FALSE,Playable puzzles,https://pudding.cool/2020/11/crossword-puzzles/,link,Svelte component,https://github.com/russellgoldenberg/svelte-crossword#svelte-crossword,link,,,
whole-foods,Whole Foods,https://www.notion.so/thepudding/Whole-Foods-Data-FAQ-3b69e387e78c41e4af27b16c6d3e9459,TRUE,FALSE,15 Percent Pledge,https://www.15percentpledge.org/,users,Get the data,https://www.notion.so/thepudding/Whole-Foods-Data-FAQ-3b69e387e78c41e4af27b16c6d3e9459,bar-chart,,,
k-pop,Why are K-pop groups so big?,https://pudding.cool/2020/10/kpop/,TRUE,FALSE,Kontinentalist,https://kontinentalist.com/,users,,,,,,
dance-floor,A Data-Led Theory to Generationally Divide Dance Floors,https://pudding.cool/2020/09/wedding-playlists/,TRUE,FALSE,Take the music quiz,https://pudding.cool/2020/04/music-challenge/,link,90's canon,https://pudding.cool/2020/07/song-decay/,link,,,
middle-class,"How rigid is the middle class in the US, really?",https://pudding.cool/2020/08/income/,TRUE,FALSE,,,,,,,,,
music-quiz-2,Identifying Generational Gaps in Music,https://pudding.cool/2020/04/music-challenge/,TRUE,FALSE,90's canon,https://pudding.cool/2020/07/song-decay/,link,Generational dance floor,https://pudding.cool/2020/09/wedding-playlists/,link,,,
campaign-colors,How candidate diversity impacts color diversity,https://pudding.cool/2020/08/campaign-colors/,TRUE,FALSE,Get the data,https://github.com/the-pudding/data/tree/master/campaign-colors,bar-chart,,,,,,
winning-internet,Winning the Internet,https://pudding.cool/projects/newsletter/,TRUE,FALSE,Subscribe,https://tinyletter.com/codenberg/subscribe/validate,mail,Get the data,https://github.com/the-pudding/data/tree/master/winning-the-internet,bar-chart,,,
90s-canon-2,Defining the ’90s Music Canon,https://pudding.cool/2020/07/song-decay/,TRUE,FALSE,Take the music quiz,https://pudding.cool/2020/04/music-challenge/,link,Generational dance floor,https://pudding.cool/2020/09/wedding-playlists/,link,,,
90s-canon-1,Defining the ’90s Music Canon,https://pudding.cool/2020/07/song-decay/,TRUE,FALSE,Take the music quiz,https://pudding.cool/2020/04/music-challenge/,link,Generational dance floor,https://pudding.cool/2020/09/wedding-playlists/,link,,,
gendered-descriptions-3,The Physical Traits that Define Men and Women in Literature,https://pudding.cool/2020/07/gendered-descriptions/,TRUE,FALSE,Behind the pitch,https://pudding.cool/process/pitching-gendered-descriptions/,link,,,,,,
gendered-descriptions-2,The Physical Traits that Define Men and Women in Literature,https://pudding.cool/2020/07/gendered-descriptions/,TRUE,FALSE,Behind the pitch,https://pudding.cool/process/pitching-gendered-descriptions/,link,,,,,,
gendered-descriptions-1,The Physical Traits that Define Men and Women in Literature,https://pudding.cool/2020/07/gendered-descriptions/,TRUE,FALSE,Behind the pitch,https://pudding.cool/process/pitching-gendered-descriptions/,link,,,,,,
flooding,Flooding in America,https://pudding.cool/projects/flooding/visuals/,TRUE,FALSE,,,,,,,,,
karen,You Know Karen,https://pudding.cool/2020/06/karen/,TRUE,FALSE,Get the data,https://github.com/the-pudding/karen-data,bar-chart,,,,,,
masked-wrestlers,An Illustrated Guide to Masked Wrestlers,https://pudding.cool/2020/05/wrestling/,TRUE,FALSE,Watch the video,https://www.youtube.com/watch?v=J1KZWyXqQUw,video,,,,,,
music-quiz-1,Identifying Generational Gaps in Music,https://pudding.cool/2020/04/music-challenge/,TRUE,FALSE,90's canon,https://pudding.cool/2020/07/song-decay/,link,Generational dance floors,https://pudding.cool/2020/09/wedding-playlists/,link,,,
infinite-monkey,The Infinite Monkey Theorem Experiment,https://pudding.cool/2020/04/infinite/,TRUE,FALSE,,,,,,,,,
kidz-bop,Just How Does Kidz Bop Censor Songs?,https://pudding.cool/2020/04/kidz-bop/,TRUE,FALSE,Get the data,https://github.com/the-pudding/data/tree/master/kidz-bop,bar-chart,,,,,,
census,The Evolution of the American Census,https://pudding.cool/2020/03/census-history/,TRUE,FALSE,Get the data,https://github.com/the-pudding/data/tree/master/census-history,bar-chart,,,,,,
lgbt-video-games,The Pudding Etc.,,TRUE,FALSE,LGBTQ Video Game Archive,https://lgbtqgamearchive.com/,users,,,,,,
gifs,The Emotional GIF Range of Celebs,https://pudding.cool/2020/03/gifs/,TRUE,FALSE,,,,,,,,,
rain,Where will you need your umbrella?,https://pudding.cool/2020/02/rain/,TRUE,FALSE,Get the data,https://github.com/the-pudding/data/tree/master/rain,bar-chart,,,,,,
