id,hed,url,instagram,tiktok,text1,url1,icon1,text2,url2,icon2,text3,url3,icon3
wine-animals,The Pour-igin of Species,https://pudding.cool/2025/04/wine-animals/,TRUE,FALSE,,,,,,,,,
music-dna,How Sonic DNA Connects Generations of Music,https://pudding.cool/2025/04/music-dna,TRUE,FALSE,,,,,,,,,
non-apologies,The Real Apologies of The Real Housewives of Salt Lake City,https://pudding.cool/2025/03/housewives/,TRUE,FALSE,,,,,,,,,
animal-sounds,Onomatopoeia Odyssey,https://pudding.cool/2025/03/language/,TRUE,FALSE,,,,,,,,,
middle-school,The Middle Ages,https://pudding.cool/2025/02/middle-school/,TRUE,FALSE,Watch the video,https://www.youtube.com/watch?v=b4zLknfk05Q,video,,,,,,
pudding-cup-2024-winners,The Pudding Cup 2024 Winners,https://pudding.cool/pudding-cup/,TRUE,FALSE,Here's to the Next 100 Sudokus,https://vivrao9.github.io/nyt-sudoku/,link,Votes in a Name,https://diagramchasing.fun/2024/votes-in-a-name,link,Battle of the Chocolate Bars,https://surbhi-bh.github.io/chocolate-wars/,link
pop-lyrics,Are Pop Lyrics Getting More Repetitive?,https://pudding.cool/2017/05/song-repetition/,TRUE,FALSE,,,,,,,,,
sitters-standers,Sitters and Standers,https://pudding.cool/2024/11/sitters-standers/,TRUE,FALSE,Watch the video,https://www.youtube.com/watch?v=sE_Ew0Be4qE,video,,,,,,
love-songs,Is the Love Song Dying?,https://pudding.cool/2024/11/love-songs,TRUE,FALSE,,,,,,,,,
pudding-cup-2024,The Pudding Cup 2024,https://pudding.cool/pudding-cup/,TRUE,FALSE,,,,,,,,,
queues,Tired of waiting in line? An expert explains why queues are so tricky,https://youtu.be/2r3gElTiLik,TRUE,FALSE,Watch the video,https://youtu.be/2r3gElTiLik,video,,,,,,
nba-uniforms,Colors of the Court,https://pudding.cool/2024/10/nba-uniforms/,TRUE,FALSE,Basketball Jersey Database,https://www.bballjerseys.com/,link,,,,,,
abortion-maze,The United States of Abortion Mazes,https://pudding.cool/2024/10/abortion-mazes/,TRUE,FALSE,,,,,,,,,
crokinole,"Welcome to Crokinole, the greatest game you've never heard of.",https://pudding.cool/2024/10/crokinole,TRUE,FALSE,,,,,,,,,
fanfic,Who Gets Shipped And Why?,https://pudding.cool/2024/10/fanfic/,TRUE,FALSE,Data from centreoftheselights,https://archiveofourown.org/users/centreoftheselights,bar-chart,,,,,,
lineup,The evolution of baseball's perfect lineup,https://pudding.cool/2024/09/lineup/,TRUE,FALSE,,,,,,,,,
courts,Satellite imagery of every basketball court in the U.S.A.,https://pudding.cool/2024/09/courts,TRUE,FALSE,,,,,,,,,
ai,"Can an AI make a data-driven, visual story?",https://pudding.cool/2024/07/ai/,TRUE,FALSE,,,,,,,,,
sleep-training,Is Sleep Training Harmful?,https://pudding.cool/2024/07/sleep-training/,TRUE,FALSE,,,,,,,,,
